Parliamentary Constituency Code,Parliamentary Constituency,Region,Number of households,Number of households in fuel poverty,Proportion of households fuel poor (%),
E14001035,West Worcestershire,West Midlands,42952 ,6593 , 15.3 ,
E14001036,Westminster North,London,57389 ,5602 , 9.8 ,
E14001037,Westmorland and Lonsdale,North West,40370 ,4735 , 11.7 ,
E14001038,Weston-Super-Mare,South West,51499 ,5714 , 11.1 ,
E14001039,Wigan,North West,47237 ,7061 , 14.9 ,
E14001040,Wimbledon,London,43101 ,3226 , 7.5 ,
E14001041,Winchester,South East,42679 ,3256 , 7.6 ,
E14001042,Windsor,South East,45095 ,2519 , 5.6 ,
E14001043,Wirral South,North West,33227 ,3842 , 11.6 ,
E14001044,Wirral West,North West,32310 ,3482 , 10.8 ,
E14001045,Witham,East of England,40093 ,4886 , 12.2 ,
E14001046,Witney,South East,47096 ,3446 , 7.3 ,
E14001047,Woking,South East,45516 ,3055 , 6.7 ,
E14001048,Wokingham,South East,43220 ,2254 , 5.2 ,
E14001049,Wolverhampton North East,West Midlands,39506 ,9259 , 23.4 ,
E14001050,Wolverhampton South East,West Midlands,38172 ,9437 , 24.7 ,
E14001051,Wolverhampton South West,West Midlands,38088 ,7037 , 18.5 ,
E14001052,Worcester,West Midlands,45380 ,7042 , 15.5 ,
E14001053,Workington,North West,36961 ,5648 , 15.3 ,
E14001054,Worsley and Eccles South,North West,46078 ,6820 , 14.8 ,
E14001055,Worthing West,South East,47929 ,4384 , 9.1 ,
E14001056,Wycombe,South East,45069 ,3874 , 8.6 ,
E14001057,Wyre and Preston North,North West,40346 ,4046 , 10.0 ,
E14001058,Wyre Forest,West Midlands,46357 ,7258 , 15.7 ,
E14001059,Wythenshawe and Sale East,North West,49198 ,8412 , 17.1 ,
E14001060,Yeovil,South West,51244 ,5716 , 11.2 ,
E14001061,York Central,Yorkshire and The Humber,48629 ,8649 , 17.8 ,
E14001062,York Outer,Yorkshire and The Humber,41228 ,4523 , 11.0 ,
,,,,, England ,
,,,,,,
Back to contents,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
